class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max
129,0.030534351145038167,90.0,0.0,127.0,0.015267175572519083,90.0,0.0,255.0,0.007633587786259542,90.0,0.0,145.0
131,0.04377700168591842,73.57213902478351,1.5,110.0,0.06923104043128872,69.6339466501454,0.0,193.0,0.2411566337714245,73.57213902478351,0.0,205.0
133,0.026449609158889435,73.3802398879022,0.0,176.5,0.03083804143126177,0.0,0.0,242.5,0.023893596986817325,0.0,0.0,233.0
134,0.043478260869565216,0.0,19.0,80.0,0.3790627324741093,50.88738942747778,0.0,155.0,0.5390112798243339,49.81153450167805,0.0,108.0
142,0.030399274047186932,45.0,21.0,152.0,0.21410813081750862,61.84503376298989,0.0,185.5,0.24281534893365336,73.33438700018448,0.0,111.0
153,0.0049504950495049506,90.0,7.0,255.0,0.013301247742638491,21.850296658373047,0.0,255.0,0.10802802379451662,66.42259289963212,0.0,253.0
158,0.1111111111111111,0.0,32.0,123.0,0.1111111111111111,0.0,0.0,132.0,0.60332851507943,22.95408653762848,0.0,28.0
160,0.07976190476190476,45.0,0.0,105.0,0.07760141093474426,0.0,0.0,125.5,0.21616189062379507,57.91258463463807,0.0,138.0
162,0.1622508028597077,61.69924423399362,17.0,105.0,0.07692307692307693,0.0,0.0,200.0,0.44691662061107307,15.448698703821286,0.0,172.0
163,0.12121212121212122,0.0,11.0,177.0,0.030303030303030304,0.0,0.0,146.0,0.12445014818672487,60.857022018028246,0.0,203.0
164,0.017241379310344827,90.0,10.0,127.0,0.06416746087386267,53.714732874861156,0.0,180.0,0.0379746835443038,0.0,0.0,216.0
165,0.5758755534498964,29.74488129694222,32.0,74.0,0.5758755534498964,29.74488129694222,0.0,182.0,0.5758755534498964,29.74488129694222,0.0,32.0
167,0.06053411756829577,35.665001536861766,0.0,123.0,0.06053411756829577,35.665001536861766,0.0,225.0,0.06053411756829577,35.665001536861766,0.0,173.0
169,0.008695652173913044,90.0,10.0,147.0,0.2802502857131497,83.16899405064848,0.0,255.0,0.1090429235129083,23.498565675952097,0.0,219.0
173,0.032377428307123035,0.0,6.5,159.5,0.0446384850676136,72.30986389984942,0.0,215.0,0.11155442892969665,52.63175377166825,0.0,245.5
175,0.009708737864077669,90.0,7.0,255.0,0.009523809523809525,0.0,0.0,235.0,0.14115993406258895,74.3432973238133,0.0,255.0
176,0.03571428571428571,90.0,19.0,59.0,0.1696192202245399,24.904768808095188,0.0,132.0,0.2917913517770246,37.73304559418831,0.0,109.0
177,0.010752688172043012,0.0,19.0,170.0,0.010752688172043012,0.0,0.0,179.0,0.010752688172043012,0.0,0.0,226.0
