class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max,area_px,centroid_x,centroid_y,y0,y1,x0,x1,bbox_h,bbox_w,R_mean,R_p95,R_contrast,G_mean,G_p95,G_contrast,B_mean,B_p95,B_contrast,driver_channel,driver_corr,top1_freq,top1_angle,top1_coef,top1_score,top2_freq,top2_angle,top2_coef,top2_score,top3_freq,top3_angle,top3_coef,top3_score,top4_freq,top4_angle,top4_coef,top4_score,top5_freq,top5_angle,top5_coef,top5_score,curve_complexity
68,1.0,90.0,0.0,103.0,2.23606797749979,63.43494882292201,0.0,223.0,1.0,90.0,0.0,154.0,4421,302.3530875367564,546.2112644198145,474,600,276,337,126,61,30.39877855688758,51.0,20.60122144311242,25.299479755711378,95.0,69.70052024428863,7.414612078715223,20.0,12.585387921284777,G,11984.607440588949,2.23606797749979,63.43494882292201,194.0727745353247,59.97178547691287,2.0,0.0,-167.75390968719006,55.91796989573002,2.23606797749979,26.56505117707799,136.00102296964195,42.02662734999694,5.0,0.0,222.35639696327996,37.059399493879994,5.0990195135927845,78.69006752597979,222.09187870553063,36.41435778497808,0.7408196154057185
70,2.0,0.0,0.0,111.0,1.0,90.0,0.0,189.0,1.0,90.0,0.0,255.0,2226,504.3126684636119,271.27358490566036,241,297,474,537,56,63,36.39353099730458,72.0,35.60646900269542,44.42273135669362,119.0,74.57726864330638,36.723270440251575,155.5,118.77672955974842,B,23809.444864860907,1.0,90.0,335.4428471307484,167.7214235653742,2.0,0.0,-432.4209754947275,144.14032516490917,2.8284271247461903,45.0,486.09584641495655,126.97011868736637,4.123105625617661,14.036243467926479,-393.6177369766724,76.83186054342114,6.4031242374328485,51.34019174590991,300.66998825163455,40.613932524776416,0.6984933325942155
76,1.0,90.0,0.0,179.0,1.0,90.0,0.0,137.0,1.0,90.0,0.0,222.0,592,498.00168918918916,628.3648648648649,622,637,471,528,15,57,19.00506756756757,106.0,86.99493243243244,10.224662162162161,63.79999999999973,53.575337837837566,20.048986486486488,112.3499999999998,92.30101351351331,B,7254.346799705605,1.0,90.0,397.9208289374224,198.9604144687112,2.0,90.0,300.9723057168196,100.32410190560654,1.0,0.0,133.1619793659113,66.58098968295565,1.4142135623730951,45.0,155.31095300608405,64.33190312021043,2.23606797749979,26.56505117707799,-163.78412609833376,50.61207837323448,0.5861969873301973
78,1.0,90.0,12.0,129.0,2.0,90.0,0.0,236.0,1.0,0.0,0.0,255.0,6822,482.45763705658163,361.22940486660804,308,409,432,542,101,110,55.67238346525946,86.0,30.327616534740542,24.579595426561127,96.0,71.42040457343887,8.507036059806508,28.0,19.49296394019349,G,8495.863285227893,2.0,90.0,128.93359985838737,42.97786661946245,1.0,0.0,70.80045613994737,35.400228069973686,1.0,90.0,-50.39070232685181,25.195351163425904,3.605551275463989,33.690067525979785,-106.23675072631204,23.067108446341017,2.23606797749979,26.56505117707799,-71.91683936793888,22.223525546426366,0.7112945805057199
80,1.0,90.0,19.0,87.0,1.0,90.0,0.0,190.0,1.0,0.0,0.0,182.0,1077,498.8226555246054,463.4317548746518,443,486,480,519,43,39,37.64159702878366,51.0,13.358402971216343,27.88765088207985,104.0,76.11234911792015,8.909935004642525,28.0,19.090064995357473,G,2483.471658792845,1.0,90.0,-64.59947710710884,32.29973855355442,2.0,0.0,84.97888301585346,28.326294338617817,2.0,90.0,-77.74995007855806,25.91665002618602,3.605551275463989,56.309932474020215,116.8182348160687,25.3646583935383,1.0,0.0,50.44117340069985,25.220586700349926,0.7644554320789428
86,1.4142135623730951,45.0,18.0,108.0,1.4142135623730951,45.0,0.0,204.0,2.23606797749979,63.43494882292201,0.0,187.0,894,443.84004474272933,402.6498881431767,377,424,422,543,47,121,66.10290827740492,88.0,21.89709172259508,21.478747203579417,92.0,70.52125279642058,8.017897091722595,28.34999999999991,20.332102908277314,G,2305.0992794185895,1.4142135623730951,45.0,46.78681678305142,19.37973405180504,1.0,90.0,35.790883917637686,17.895441958818843,4.123105625617661,75.96375653207353,-58.1608484925536,11.35265456986191,4.0,90.0,-48.20078925189387,9.640157850378774,2.23606797749979,26.56505117707799,30.82109006432453,9.52424061503712,0.714130449395857
92,2.0,0.0,12.0,77.0,1.0,0.0,0.0,169.0,1.0,90.0,0.0,169.0,1274,500.8916797488226,317.5761381475667,300,336,477,527,36,50,32.200156985871274,51.0,18.799843014128726,23.824175824175825,87.0,63.175824175824175,6.786499215070644,19.0,12.213500784929355,G,2762.313656261884,1.0,0.0,36.85641399730611,18.428206998653057,5.0990195135927845,11.309932474020213,97.29100079993216,15.951908431035728,6.0,0.0,95.63765030887265,13.662521472696094,5.830951894845301,59.03624346792648,-91.1239832329485,13.339866044395878,8.0,0.0,-109.87981962533365,12.208868847259295,0.749587396600949
96,1.0,0.0,8.0,98.0,1.0,0.0,0.0,156.0,1.0,0.0,0.0,249.0,710,499.35352112676054,474.16478873239436,461,487,457,543,26,86,39.05492957746479,58.0,18.94507042253521,25.38450704225352,98.0,72.61549295774648,10.05774647887324,23.0,12.94225352112676,G,1936.4543506050136,1.0,0.0,-30.55433701036555,15.277168505182775,3.0,90.0,46.41566993951814,11.603917484879535,2.0,90.0,-31.875367125875883,10.62512237529196,4.0,90.0,53.01507047941781,10.603014095883562,1.4142135623730951,45.0,25.38119230081551,10.513234080197366,0.7393973332662263
99,1.0,90.0,0.0,89.0,1.4142135623730951,45.0,0.0,133.0,2.0,0.0,0.0,255.0,1675,497.87462686567164,547.8161194029851,508,588,487,510,80,23,25.945671641791044,40.0,14.054328358208956,14.227462686567165,53.0,38.772537313432835,41.53671641791045,217.0,175.46328358208956,B,26112.680044316643,2.0,0.0,-1072.0975620994038,357.3658540331346,3.0,0.0,-617.3780900058391,154.34452250145978,1.0,0.0,303.0845904037407,151.54229520187036,3.1622776601683795,18.43494882292201,574.3289329947727,137.9842912669932,1.4142135623730951,45.0,-236.22947626489378,97.84945290121216,0.6025233529153597
102,1.0,90.0,0.0,255.0,3.1622776601683795,18.43494882292201,0.0,248.0,1.0,0.0,0.0,255.0,7623,154.1889020070838,529.5213170667716,468,600,89,219,132,130,93.54335563426473,212.0,118.45664436573527,32.46635182998819,138.0,105.53364817001182,11.692115964843238,35.0,23.30788403515676,R,113935.33337795766,1.0,90.0,1179.4362507621975,589.7181253810987,1.0,0.0,1011.668321675483,505.8341608377415,2.0,0.0,-729.1666546511526,243.0555515503842,3.0,0.0,-963.0066369139989,240.75165922849973,2.23606797749979,63.43494882292201,592.2562598371409,183.01724931462115,0.6653847557765136
