class,R_mean,G_mean,B_mean,R_contrast,G_contrast,B_contrast,shared_freq,shared_angle,curve_complexity
143,61.62210242587601,19.88409703504043,6.773584905660377,41.37789757412399,63.115902964959574,15.226415094339622,1.0,90.0,0.6639572322083913
154,103.89754370435938,30.31024562956406,8.344047355609648,69.10245629564062,74.93975437043594,13.655952644390352,1.0,90.0,0.6909246568879741
161,37.6665062560154,15.801251203079884,20.96679499518768,46.48349374398446,58.198748796920114,88.18320500481218,2.23606797749979,63.43494882292201,0.7551613360138328
163,62.48275862068966,21.368275862068966,8.702068965517242,20.51724137931034,70.43172413793098,23.897931034482667,2.23606797749979,26.56505117707799,0.73975728571899
164,115.02978235967927,13.794959908361971,8.711340206185566,36.3702176403207,59.205040091638026,13.288659793814434,1.0,0.0,0.5468909874377049
165,53.98687845303867,21.401588397790054,9.087707182320441,27.26312154696133,61.84841160220995,20.912292817679557,4.242640687119285,45.0,0.7540046337854125
166,53.0,39.29032258064516,11.96774193548387,20.5,66.20967741935485,16.032258064516128,3.605551275463989,33.690067525979785,0.722748388003202
168,61.42901716068643,14.77483099323973,6.919916796671867,28.570982839313572,51.12516900676013,17.080083203328133,1.0,90.0,0.6746849943182884
170,62.03387381602183,23.684218975758547,8.44918927596725,21.96612618397817,80.31578102424146,21.55081072403275,4.0,0.0,0.7418816794687315
174,53.9447895100069,27.814814814814813,9.65930526800092,60.0552104899931,69.18518518518519,13.34069473199908,1.0,90.0,0.7274488755330751
176,108.41855129465749,27.544411668305475,9.108379766196876,78.58144870534251,74.45558833169453,14.891620233803124,1.0,90.0,0.4970983656585056
177,35.79359430604982,24.01423487544484,8.604982206405694,13.206405693950181,56.98576512455516,17.395017793594306,2.8284271247461903,45.0,0.7244306516698134
178,62.13072227873855,17.604272634791453,7.097151576805697,24.869277721261447,60.39572736520854,11.902848423194303,1.0,0.0,0.617879167724408
