class,R_mean,R_contrast,G_mean,G_contrast,B_mean,B_contrast,shared_freq,shared_angle,curve_complexity,area_frac,aspect_ratio,fill_fraction
41,75.01264755480607,43.987352445193935,20.04468802698145,58.45531197301855,10.863406408094436,27.136593591905566,1.0,90.0,0.7478207971126223,0.0028955078125,0.7222222222222222,0.5631528964862298
51,40.853994490358126,23.146005509641874,24.382001836547293,70.21799816345262,6.256198347107438,12.74380165289256,1.0,90.0,0.709213514008148,0.00265869140625,0.39344262295081966,0.7438524590163934
53,69.41592039800994,65.13407960199001,23.29900497512438,72.70099502487562,8.365671641791044,14.634328358208956,3.0,0.0,0.696286488093478,0.0049072265625,0.4631578947368421,0.48086124401913877
54,46.25799648506151,15.742003514938489,26.51072056239016,86.48927943760984,8.23409490333919,17.76590509666081,1.0,0.0,0.6285578667495992,0.00694580078125,1.1754385964912282,0.7449594134590207
55,52.823232323232325,28.176767676767675,24.631944444444443,61.36805555555556,7.36300505050505,14.63699494949495,3.0,90.0,0.7674009566814013,0.0038671875,1.74,0.3641379310344828
56,63.62157022548221,31.37842977451779,14.126596033686498,47.873403966313504,6.790002716653083,12.209997283346917,1.0,0.0,0.6091927449795518,0.00898681640625,0.9230769230769231,0.655448717948718
58,41.86178861788618,20.138211382113823,22.57859078590786,69.42140921409214,7.72289972899729,18.52710027100271,3.0,90.0,0.7869181356944797,0.003603515625,0.6166666666666667,0.6648648648648648
68,30.39877855688758,20.60122144311242,25.299479755711378,69.70052024428863,7.414612078715223,12.585387921284777,2.23606797749979,63.43494882292201,0.7408196154057185,0.01079345703125,0.48412698412698413,0.5752016653655998
70,36.39353099730458,35.60646900269542,44.42273135669362,74.57726864330638,36.723270440251575,118.77672955974842,1.0,90.0,0.6984933325942155,0.0054345703125,1.125,0.6309523809523809
76,19.00506756756757,86.99493243243244,10.224662162162161,53.575337837837566,20.048986486486488,92.30101351351331,1.0,90.0,0.5861969873301973,0.0014453125,3.8,0.6923976608187135
78,55.67238346525946,30.327616534740542,24.579595426561127,71.42040457343887,8.507036059806508,19.49296394019349,2.0,90.0,0.7112945805057199,0.0166552734375,1.0891089108910892,0.6140414041404141
80,37.64159702878366,13.358402971216343,27.88765088207985,76.11234911792015,8.909935004642525,19.090064995357473,1.0,90.0,0.7644554320789428,0.00262939453125,0.9069767441860465,0.6422182468694096
86,66.10290827740492,21.89709172259508,21.478747203579417,70.52125279642058,8.017897091722595,20.332102908277314,1.4142135623730951,45.0,0.714130449395857,0.0021826171875,2.574468085106383,0.1572006330226833
92,32.200156985871274,18.799843014128726,23.824175824175825,63.175824175824175,6.786499215070644,12.213500784929355,1.0,0.0,0.749587396600949,0.0031103515625,1.3888888888888888,0.7077777777777777
